transaction_id,timestamp,transaction_type,amount,account_id,merchant,location,hour,day_of_week,is_weekend,hourly_velocity,is_fraud
TXN00000031,2025-05-26 17:18:07.062831,WIRE_TRANSFER,227.42,ACC7537,MERCHANT_468,LOS_ANGELES,17,0,0,1,1
TXN00000032,2025-05-10 16:21:15.062831,ONLINE_PURCHASE,131.75,ACC4374,MERCHANT_384,NEW_YORK,16,5,1,1,1
TXN00000033,2025-05-09 15:08:49.062831,ONLINE_PURCHASE,9.47,ACC7730,MERCHANT_494,INTERNATIONAL,15,4,0,1,0
TXN00000034,2025-05-22 06:25:32.062831,ONLINE_PURCHASE,136.92,ACC4386,MERCHANT_78,PHOENIX,6,3,0,1,0
TXN00000035,2025-05-19 03:23:47.062831,DIRECT_DEPOSIT,18.68,ACC3240,MERCHANT_495,NEW_YORK,3,0,0,1,0
TXN00000036,2025-05-09 04:01:29.062831,CARD_PAYMENT,171.03,ACC1912,MERCHANT_298,PHOENIX,4,4,0,1,0
TXN00000037,2025-05-13 16:55:23.062831,CHECK_DEPOSIT,111.36,ACC2515,MERCHANT_346,HOUSTON,16,1,0,1,0
TXN00000038,2025-05-07 17:23:31.062831,CARD_PAYMENT,158.2,ACC5603,MERCHANT_319,LOS_ANGELES,17,2,0,1,0
TXN00000039,2025-05-29 17:29:07.062831,CHECK_DEPOSIT,586.81,ACC1850,MERCHANT_22,ONLINE,17,3,0,1,0
TXN00000040,2025-05-06 06:22:30.062831,ONLINE_PURCHASE,385.61,ACC4666,MERCHANT_464,LOS_ANGELES,6,1,0,1,0
TXN00000041,2025-05-14 15:04:08.062831,ATM_WITHDRAWAL,261.62,ACC2384,MERCHANT_423,INTERNATIONAL,15,2,0,1,0
TXN00000042,2025-06-01 03:57:56.062831,DIRECT_DEPOSIT,421.36,ACC9685,MERCHANT_454,PHOENIX,3,6,1,1,0
TXN00000043,2025-05-22 15:40:36.062831,CARD_PAYMENT,325.02,ACC4138,MERCHANT_298,NEW_YORK,15,3,0,1,0
TXN00000044,2025-05-06 00:11:49.062831,ONLINE_PURCHASE,160.84,ACC2085,MERCHANT_188,NEW_YORK,0,1,0,1,0
TXN00000045,2025-05-06 01:06:21.062831,CARD_PAYMENT,55.83,ACC6625,MERCHANT_278,CHICAGO,1,1,0,1,0
TXN00000046,2025-05-23 18:07:02.062831,ONLINE_PURCHASE,60.76,ACC1033,MERCHANT_351,INTERNATIONAL,18,4,0,1,1
TXN00000047,2025-05-07 08:57:23.062831,CARD_PAYMENT,233.59,ACC8155,MERCHANT_247,PHOENIX,8,2,0,1,0
TXN00000048,2025-05-22 22:01:13.062831,ONLINE_PURCHASE,338.42,ACC5521,MERCHANT_171,HOUSTON,22,3,0,1,0
TXN00000049,2025-05-15 16:22:48.062831,ATM_WITHDRAWAL,143.75,ACC2486,MERCHANT_435,ONLINE,16,3,0,1,0
TXN00000050,2025-05-08 17:02:28.062831,ATM_WITHDRAWAL,331.05,ACC6370,MERCHANT_103,INTERNATIONAL,17,3,0,1,0
TXN00000051,2025-05-26 11:08:16.062831,ONLINE_PURCHASE,144.62,ACC1942,MERCHANT_478,LOS_ANGELES,11,0,0,1,0
TXN00000052,2025-05-30 04:47:22.062831,ATM_WITHDRAWAL,60.18,ACC4625,MERCHANT_195,HOUSTON,4,4,0,1,0
TXN00000053,2025-05-22 10:46:43.062831,ONLINE_PURCHASE,153.68,ACC2365,MERCHANT_360,INTERNATIONAL,10,3,0,1,0
TXN00000054,2025-05-14 04:17:02.062831,ONLINE_PURCHASE,402.56,ACC1335,MERCHANT_315,PHOENIX,4,2,0,1,0
TXN00000055,2025-05-24 09:51:12.062831,ATM_WITHDRAWAL,262.1,ACC3519,MERCHANT_371,LOS_ANGELES,9,5,1,1,0
TXN00000056,2025-05-20 14:11:23.062831,ONLINE_PURCHASE,440.93,ACC6506,MERCHANT_457,INTERNATIONAL,14,1,0,1,1
TXN00000057,2025-06-02 03:34:05.062831,ATM_WITHDRAWAL,65.21,ACC6605,MERCHANT_124,NEW_YORK,3,0,0,1,0
TXN00000058,2025-05-31 23:38:57.062831,ONLINE_PURCHASE,156.62,ACC7611,MERCHANT_212,NEW_YORK,23,5,1,1,0
TXN00000059,2025-05-29 06:04:58.062831,DIRECT_DEPOSIT,338.79,ACC1917,MERCHANT_350,NEW_YORK,6,3,0,1,0
TXN00000060,2025-05-24 20:58:13.062831,ONLINE_PURCHASE,80.94,ACC4087,MERCHANT_276,CHICAGO,20,5,1,1,0
TXN00000061,2025-05-12 05:23:55.062831,CARD_PAYMENT,2.19,ACC9817,MERCHANT_312,NEW_YORK,5,0,0,1,0
TXN00000062,2025-05-29 17:31:06.062831,DIRECT_DEPOSIT,59.88,ACC3417,MERCHANT_478,CHICAGO,17,3,0,1,0
TXN00000063,2025-05-27 12:11:56.062831,ATM_WITHDRAWAL,294.03,ACC4442,MERCHANT_301,ONLINE,12,1,0,1,0
TXN00000064,2025-05-11 02:12:21.062831,ONLINE_PURCHASE,372.31,ACC3356,MERCHANT_277,HOUSTON,2,6,1,1,0
TXN00000065,2025-05-24 04:50:25.062831,CARD_PAYMENT,305.5,ACC3213,MERCHANT_91,HOUSTON,4,5,1,1,0
TXN00000066,2025-05-05 07:40:58.062831,ATM_WITHDRAWAL,288.43,ACC2398,MERCHANT_124,NEW_YORK,7,0,0,1,0
TXN00000067,2025-05-15 04:39:56.062831,CHECK_DEPOSIT,123.25,ACC6158,MERCHANT_331,NEW_YORK,4,3,0,1,0
TXN00000068,2025-05-26 12:53:56.062831,CARD_PAYMENT,45.27,ACC5994,MERCHANT_53,LOS_ANGELES,12,0,0,1,0
TXN00000069,2025-05-15 01:07:58.062831,ATM_WITHDRAWAL,578.89,ACC7672,MERCHANT_155,PHOENIX,1,3,0,1,0
TXN00000070,2025-05-22 03:28:02.062831,CARD_PAYMENT,178.16,ACC8100,MERCHANT_289,LOS_ANGELES,3,3,0,1,0
TXN00000071,2025-05-10 17:22:44.062831,CARD_PAYMENT,649.15,ACC1555,MERCHANT_33,NEW_YORK,17,5,1,1,0
TXN00000072,2025-05-04 04:02:20.062831,WIRE_TRANSFER,32.07,ACC2260,MERCHANT_345,PHOENIX,4,6,1,1,1
TXN00000073,2025-05-30 22:44:47.062831,DIRECT_DEPOSIT,61.49,ACC9787,MERCHANT_475,PHOENIX,22,4,0,1,0
TXN00000074,2025-06-01 01:29:06.062831,WIRE_TRANSFER,35.75,ACC2666,MERCHANT_167,NEW_YORK,1,6,1,1,1
TXN00000075,2025-05-13 03:10:40.062831,CARD_PAYMENT,119.27,ACC7331,MERCHANT_208,ONLINE,3,1,0,1,0
TXN00000076,2025-05-29 08:16:39.062831,DIRECT_DEPOSIT,302.47,ACC8644,MERCHANT_321,ONLINE,8,3,0,1,0
TXN00000077,2025-05-04 08:56:31.062831,ATM_WITHDRAWAL,262.75,ACC4238,MERCHANT_401,ONLINE,8,6,1,1,0
TXN00000078,2025-05-27 21:25:00.062831,ONLINE_PURCHASE,79.48,ACC6527,MERCHANT_133,CHICAGO,21,1,0,1,0
TXN00000079,2025-05-28 19:09:06.062831,DIRECT_DEPOSIT,78.15,ACC6314,MERCHANT_321,HOUSTON,19,2,0,1,0
TXN00000080,2025-05-12 13:20:15.062831,DIRECT_DEPOSIT,142.61,ACC8215,MERCHANT_442,NEW_YORK,13,0,0,1,0
TXN00000081,2025-05-13 08:08:20.062831,ONLINE_PURCHASE,88.28,ACC7588,MERCHANT_342,PHOENIX,8,1,0,1,0
TXN00000082,2025-05-22 22:02:39.062831,DIRECT_DEPOSIT,293.6,ACC3649,MERCHANT_160,HOUSTON,22,3,0,1,0
TXN00000083,2025-05-04 07:04:10.062831,ONLINE_PURCHASE,90.25,ACC7970,MERCHANT_126,ONLINE,7,6,1,1,0
TXN00000084,2025-05-22 04:09:58.062831,ATM_WITHDRAWAL,52.28,ACC8516,MERCHANT_414,PHOENIX,4,3,0,1,0
TXN00000085,2025-05-31 17:24:23.062831,ONLINE_PURCHASE,224.03,ACC4766,MERCHANT_212,NEW_YORK,17,5,1,1,0
TXN00000086,2025-05-18 12:49:00.062831,ONLINE_PURCHASE,2.01,ACC3996,MERCHANT_86,PHOENIX,12,6,1,1,0
TXN00000087,2025-05-09 08:52:29.062831,ONLINE_PURCHASE,70.0,ACC4740,MERCHANT_251,HOUSTON,8,4,0,1,0
TXN00000088,2025-05-11 05:58:50.062831,ONLINE_PURCHASE,560.84,ACC9255,MERCHANT_481,NEW_YORK,5,6,1,1,1
TXN00000089,2025-05-28 21:24:24.062831,ONLINE_PURCHASE,278.54,ACC9184,MERCHANT_422,LOS_ANGELES,21,2,0,1,0
TXN00000090,2025-05-27 22:33:42.062831,ONLINE_PURCHASE,276.81,ACC4638,MERCHANT_22,HOUSTON,22,1,0,1,0
TXN00000091,2025-05-19 09:31:10.062831,CARD_PAYMENT,72.58,ACC5294,MERCHANT_95,CHICAGO,9,0,0,1,0
TXN00000092,2025-05-11 00:20:17.062831,ATM_WITHDRAWAL,110.68,ACC1178,MERCHANT_54,HOUSTON,0,6,1,1,0
TXN00000093,2025-05-22 03:21:42.062831,WIRE_TRANSFER,106.33,ACC3420,MERCHANT_91,PHOENIX,3,3,0,1,1
TXN00000094,2025-05-29 15:57:59.062831,ONLINE_PURCHASE,258.33,ACC5622,MERCHANT_470,ONLINE,15,3,0,1,0
TXN00000095,2025-05-12 00:30:12.062831,ONLINE_PURCHASE,421.71,ACC5434,MERCHANT_460,PHOENIX,0,0,0,1,0
TXN00000096,2025-05-14 14:47:29.062831,CARD_PAYMENT,100.71,ACC7325,MERCHANT_43,INTERNATIONAL,14,2,0,1,0
TXN00000097,2025-05-10 23:29:54.062831,DIRECT_DEPOSIT,78.17,ACC4139,MERCHANT_350,ONLINE,23,5,1,1,0
TXN00000098,2025-05-24 01:29:42.062831,DIRECT_DEPOSIT,115.43,ACC7590,MERCHANT_362,ONLINE,1,5,1,1,0
TXN00000099,2025-05-31 20:47:21.062831,CARD_PAYMENT,358.72,ACC3596,MERCHANT_132,ONLINE,20,5,1,1,0
TXN00000100,2025-06-02 03:24:44.062831,ONLINE_PURCHASE,41.32,ACC3869,MERCHANT_19,NEW_YORK,3,0,0,1,1
TXN00000101,2025-06-02 18:45:46.062831,ONLINE_PURCHASE,221.6,ACC9232,MERCHANT_232,INTERNATIONAL,18,0,0,1,0
TXN00000102,2025-05-17 16:22:04.062831,ONLINE_PURCHASE,276.18,ACC8858,MERCHANT_499,CHICAGO,16,5,1,1,0
TXN00000103,2025-05-20 02:56:55.062831,CARD_PAYMENT,134.49,ACC6637,MERCHANT_103,INTERNATIONAL,2,1,0,1,1
TXN00000104,2025-05-27 17:16:16.062831,ONLINE_PURCHASE,35.16,ACC4221,MERCHANT_60,ONLINE,17,1,0,1,0
TXN00000105,2025-05-26 09:51:59.062831,ONLINE_PURCHASE,271.27,ACC1551,MERCHANT_311,LOS_ANGELES,9,0,0,1,0
TXN00000106,2025-05-22 00:51:38.062831,ONLINE_PURCHASE,445.03,ACC8238,MERCHANT_58,PHOENIX,0,3,0,1,0
TXN00000107,2025-05-07 19:59:33.062831,ATM_WITHDRAWAL,190.99,ACC4283,MERCHANT_479,PHOENIX,19,2,0,1,0
TXN00000108,2025-05-18 08:06:52.062831,CHECK_DEPOSIT,251.28,ACC7870,MERCHANT_229,ONLINE,8,6,1,1,0
TXN00000109,2025-05-20 10:18:52.062831,ONLINE_PURCHASE,45.9,ACC8699,MERCHANT_53,PHOENIX,10,1,0,1,0
TXN00000110,2025-05-07 17:26:23.062831,DIRECT_DEPOSIT,163.38,ACC1862,MERCHANT_319,HOUSTON,17,2,0,1,0
TXN00000111,2025-05-15 19:44:49.062831,ONLINE_PURCHASE,216.93,ACC4804,MERCHANT_17,CHICAGO,19,3,0,1,0
TXN00000112,2025-05-15 04:20:47.062831,ATM_WITHDRAWAL,264.77,ACC7829,MERCHANT_495,LOS_ANGELES,4,3,0,1,0
TXN00000113,2025-05-26 00:05:58.062831,CARD_PAYMENT,354.28,ACC4090,MERCHANT_463,CHICAGO,0,0,0,1,0
TXN00000114,2025-05-20 02:14:13.062831,CHECK_DEPOSIT,167.78,ACC1345,MERCHANT_50,ONLINE,2,1,0,1,0
TXN00000115,2025-05-05 08:38:48.062831,ONLINE_PURCHASE,328.41,ACC8539,MERCHANT_352,ONLINE,8,0,0,1,0
TXN00000116,2025-05-23 21:14:21.062831,DIRECT_DEPOSIT,77.62,ACC2969,MERCHANT_183,CHICAGO,21,4,0,1,0
TXN00000117,2025-05-06 17:14:37.062831,WIRE_TRANSFER,45.57,ACC5406,MERCHANT_185,HOUSTON,17,1,0,1,0
TXN00000118,2025-05-18 12:28:00.062831,ONLINE_PURCHASE,143.31,ACC8693,MERCHANT_301,NEW_YORK,12,6,1,1,0
TXN00000119,2025-05-06 08:52:25.062831,DIRECT_DEPOSIT,247.59,ACC5646,MERCHANT_446,CHICAGO,8,1,0,1,0
TXN00000120,2025-06-02 10:13:38.062831,ONLINE_PURCHASE,24.69,ACC3739,MERCHANT_287,INTERNATIONAL,10,0,0,1,0
TXN00000121,2025-05-25 15:21:37.062831,CARD_PAYMENT,327.84,ACC3090,MERCHANT_499,ONLINE,15,6,1,1,0
TXN00000122,2025-05-07 10:10:57.062831,ONLINE_PURCHASE,539.86,ACC7573,MERCHANT_243,ONLINE,10,2,0,1,0
TXN00000123,2025-05-26 11:10:11.062831,ONLINE_PURCHASE,286.97,ACC7745,MERCHANT_137,LOS_ANGELES,11,0,0,1,0
TXN00000124,2025-05-25 08:16:06.062831,ATM_WITHDRAWAL,220.11,ACC7976,MERCHANT_477,PHOENIX,8,6,1,1,0
TXN00000125,2025-05-10 03:12:38.062831,CARD_PAYMENT,148.44,ACC9115,MERCHANT_297,ONLINE,3,5,1,1,1
TXN00000126,2025-05-18 00:58:15.062831,CARD_PAYMENT,148.14,ACC7341,MERCHANT_462,NEW_YORK,0,6,1,1,0
TXN00000127,2025-05-25 16:29:19.062831,ATM_WITHDRAWAL,97.96,ACC5853,MERCHANT_329,INTERNATIONAL,16,6,1,1,0
TXN00000128,2025-05-04 11:31:38.062831,ONLINE_PURCHASE,270.65,ACC1068,MERCHANT_335,INTERNATIONAL,11,6,1,1,1
TXN00000129,2025-05-05 14:18:31.062831,CARD_PAYMENT,247.73,ACC5215,MERCHANT_150,HOUSTON,14,0,0,1,0
TXN00000130,2025-05-05 18:51:11.062831,ONLINE_PURCHASE,198.13,ACC8077,MERCHANT_400,PHOENIX,18,0,0,1,0
TXN00000131,2025-05-17 14:55:12.062831,DIRECT_DEPOSIT,212.58,ACC9989,MERCHANT_495,PHOENIX,14,5,1,1,0
TXN00000132,2025-05-25 06:41:39.062831,CARD_PAYMENT,116.93,ACC2664,MERCHANT_43,CHICAGO,6,6,1,1,1
TXN00000133,2025-05-29 19:47:15.062831,ATM_WITHDRAWAL,207.07,ACC2030,MERCHANT_108,INTERNATIONAL,19,3,0,1,1
TXN00000134,2025-05-30 21:42:44.062831,CARD_PAYMENT,413.55,ACC6282,MERCHANT_321,ONLINE,21,4,0,1,0
TXN00000135,2025-05-07 09:59:02.062831,WIRE_TRANSFER,442.02,ACC4062,MERCHANT_257,NEW_YORK,9,2,0,1,0
TXN00000136,2025-05-13 07:49:25.062831,CARD_PAYMENT,167.56,ACC4550,MERCHANT_133,NEW_YORK,7,1,0,1,0
TXN00000137,2025-05-22 19:11:16.062831,CARD_PAYMENT,265.98,ACC6741,MERCHANT_101,INTERNATIONAL,19,3,0,1,0
TXN00000138,2025-05-30 07:40:10.062831,DIRECT_DEPOSIT,83.82,ACC7952,MERCHANT_345,HOUSTON,7,4,0,1,0
TXN00000139,2025-05-24 02:44:18.062831,DIRECT_DEPOSIT,111.43,ACC8620,MERCHANT_341,CHICAGO,2,5,1,1,0
TXN00000140,2025-05-12 22:39:35.062831,CARD_PAYMENT,233.29,ACC3622,MERCHANT_343,ONLINE,22,0,0,1,0
TXN00000141,2025-05-05 00:08:49.062831,CARD_PAYMENT,138.28,ACC6599,MERCHANT_218,NEW_YORK,0,0,0,1,0
TXN00000142,2025-05-04 09:04:48.062831,ONLINE_PURCHASE,170.31,ACC1499,MERCHANT_232,NEW_YORK,9,6,1,1,0
TXN00000143,2025-05-20 22:45:44.062831,DIRECT_DEPOSIT,105.86,ACC8803,MERCHANT_135,HOUSTON,22,1,0,1,0
TXN00000144,2025-05-25 00:39:35.062831,ONLINE_PURCHASE,569.27,ACC8860,MERCHANT_68,INTERNATIONAL,0,6,1,1,0
TXN00000145,2025-05-31 08:41:20.062831,CARD_PAYMENT,495.21,ACC1282,MERCHANT_39,PHOENIX,8,5,1,1,0
TXN00000146,2025-05-06 05:56:46.062831,CARD_PAYMENT,279.68,ACC7053,MERCHANT_116,PHOENIX,5,1,0,1,0
TXN00000147,2025-05-07 00:24:59.062831,ONLINE_PURCHASE,70.79,ACC8244,MERCHANT_175,ONLINE,0,2,0,1,0
TXN00000148,2025-05-07 12:13:31.062831,CARD_PAYMENT,210.77,ACC4139,MERCHANT_345,LOS_ANGELES,12,2,0,1,0
TXN00000149,2025-05-07 05:09:27.062831,WIRE_TRANSFER,561.27,ACC5484,MERCHANT_170,LOS_ANGELES,5,2,0,1,0
TXN00000150,2025-05-07 17:25:16.062831,CARD_PAYMENT,35.8,ACC1161,MERCHANT_483,HOUSTON,17,2,0,1,0
TXN00000151,2025-05-28 13:04:43.062831,ONLINE_PURCHASE,38.74,ACC4540,MERCHANT_385,CHICAGO,13,2,0,1,0
TXN00000152,2025-05-27 15:13:11.062831,CARD_PAYMENT,164.48,ACC8820,MERCHANT_165,NEW_YORK,15,1,0,1,0
TXN00000153,2025-05-08 12:29:03.062831,ONLINE_PURCHASE,258.16,ACC6891,MERCHANT_74,HOUSTON,12,3,0,1,0
TXN00000154,2025-05-30 21:06:24.062831,ONLINE_PURCHASE,50.17,ACC2109,MERCHANT_412,NEW_YORK,21,4,0,1,0
TXN00000155,2025-05-15 09:11:06.062831,ATM_WITHDRAWAL,368.61,ACC7995,MERCHANT_140,LOS_ANGELES,9,3,0,1,1
TXN00000156,2025-05-04 01:08:39.062831,ONLINE_PURCHASE,274.72,ACC7495,MERCHANT_302,CHICAGO,1,6,1,1,1
TXN00000157,2025-05-21 02:28:52.062831,ATM_WITHDRAWAL,199.6,ACC3748,MERCHANT_310,INTERNATIONAL,2,2,0,1,0
TXN00000158,2025-05-05 20:14:45.062831,CARD_PAYMENT,299.56,ACC1044,MERCHANT_456,HOUSTON,20,0,0,1,0
TXN00000159,2025-05-20 03:15:29.062831,WIRE_TRANSFER,164.62,ACC8862,MERCHANT_156,INTERNATIONAL,3,1,0,1,0
TXN00000160,2025-05-27 15:43:32.062831,CARD_PAYMENT,332.06,ACC6854,MERCHANT_37,INTERNATIONAL,15,1,0,1,1
TXN00000161,2025-05-07 09:56:35.062831,CARD_PAYMENT,115.23,ACC3284,MERCHANT_318,NEW_YORK,9,2,0,1,0
TXN00000162,2025-05-09 10:14:08.062831,ONLINE_PURCHASE,97.87,ACC4885,MERCHANT_14,HOUSTON,10,4,0,1,0
TXN00000163,2025-05-12 11:01:06.062831,CHECK_DEPOSIT,245.1,ACC8165,MERCHANT_321,PHOENIX,11,0,0,1,0
TXN00000164,2025-05-09 22:48:39.062831,CHECK_DEPOSIT,608.39,ACC4093,MERCHANT_197,ONLINE,22,4,0,1,0
TXN00000165,2025-05-05 11:32:36.062831,ONLINE_PURCHASE,68.78,ACC8429,MERCHANT_60,NEW_YORK,11,0,0,1,0
TXN00000166,2025-05-16 23:06:04.062831,ATM_WITHDRAWAL,76.77,ACC6162,MERCHANT_228,LOS_ANGELES,23,4,0,1,0
TXN00000167,2025-05-05 09:51:56.062831,ONLINE_PURCHASE,169.9,ACC4996,MERCHANT_334,HOUSTON,9,0,0,1,0
TXN00000168,2025-05-27 05:10:06.062831,CARD_PAYMENT,209.42,ACC5127,MERCHANT_130,HOUSTON,5,1,0,1,1
TXN00000169,2025-05-25 18:21:08.062831,ONLINE_PURCHASE,24.37,ACC2250,MERCHANT_55,LOS_ANGELES,18,6,1,1,0
TXN00000170,2025-05-15 01:22:23.062831,ATM_WITHDRAWAL,482.65,ACC7041,MERCHANT_196,PHOENIX,1,3,0,1,0
TXN00000171,2025-05-25 18:12:25.062831,ONLINE_PURCHASE,381.9,ACC9113,MERCHANT_287,ONLINE,18,6,1,1,1
TXN00000172,2025-05-13 00:57:53.062831,ATM_WITHDRAWAL,183.33,ACC5497,MERCHANT_494,CHICAGO,0,1,0,1,0
TXN00000173,2025-05-13 05:22:56.062831,CARD_PAYMENT,3.1,ACC3153,MERCHANT_236,ONLINE,5,1,0,1,0
TXN00000174,2025-05-31 07:56:45.062831,CARD_PAYMENT,428.38,ACC9378,MERCHANT_149,ONLINE,7,5,1,1,0
TXN00000175,2025-05-14 03:34:53.062831,CARD_PAYMENT,39.75,ACC8937,MERCHANT_52,CHICAGO,3,2,0,1,0
TXN00000176,2025-05-24 15:41:15.062831,ONLINE_PURCHASE,335.89,ACC1400,MERCHANT_95,LOS_ANGELES,15,5,1,1,0
TXN00000177,2025-05-22 18:06:54.062831,CARD_PAYMENT,101.63,ACC9771,MERCHANT_417,HOUSTON,18,3,0,1,0
TXN00000178,2025-05-12 16:14:50.062831,ATM_WITHDRAWAL,63.34,ACC3158,MERCHANT_342,NEW_YORK,16,0,0,1,0
TXN00000179,2025-06-02 11:16:46.062831,ONLINE_PURCHASE,30.57,ACC3448,MERCHANT_248,INTERNATIONAL,11,0,0,1,1
TXN00000180,2025-05-15 17:03:17.062831,ATM_WITHDRAWAL,1.68,ACC9129,MERCHANT_398,ONLINE,17,3,0,1,0
TXN00000181,2025-05-22 12:38:21.062831,CARD_PAYMENT,108.06,ACC4563,MERCHANT_379,CHICAGO,12,3,0,1,0
TXN00000182,2025-05-28 07:09:40.062831,CARD_PAYMENT,90.23,ACC4701,MERCHANT_100,HOUSTON,7,2,0,1,0
TXN00000183,2025-05-23 21:37:20.062831,CHECK_DEPOSIT,559.93,ACC6570,MERCHANT_114,CHICAGO,21,4,0,1,0
TXN00000184,2025-05-25 00:15:06.062831,CARD_PAYMENT,60.27,ACC7649,MERCHANT_168,ONLINE,0,6,1,1,0
TXN00000185,2025-05-14 21:12:16.062831,ONLINE_PURCHASE,99.83,ACC3387,MERCHANT_405,ONLINE,21,2,0,1,0
TXN00000186,2025-05-07 00:16:50.062831,ONLINE_PURCHASE,463.26,ACC3636,MERCHANT_312,INTERNATIONAL,0,2,0,1,0
TXN00000187,2025-05-11 20:31:02.062831,ONLINE_PURCHASE,134.86,ACC5079,MERCHANT_334,ONLINE,20,6,1,1,0
TXN00000188,2025-05-24 12:47:31.062831,ONLINE_PURCHASE,30.51,ACC2842,MERCHANT_203,LOS_ANGELES,12,5,1,1,0
TXN00000189,2025-05-04 22:21:21.062831,CARD_PAYMENT,324.86,ACC8627,MERCHANT_284,ONLINE,22,6,1,1,0
TXN00000190,2025-05-05 13:02:06.062831,WIRE_TRANSFER,220.6,ACC3505,MERCHANT_232,ONLINE,13,0,0,1,0
TXN00000191,2025-05-25 06:30:10.062831,ATM_WITHDRAWAL,414.53,ACC4159,MERCHANT_495,CHICAGO,6,6,1,1,0
