step,type,amount,nameOrig,oldbalanceOrig,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,hour,day,amount_to_balance_ratio,balance_change_orig,balance_change_dest
188,PAYMENT,197.78,C000000093,4846.03,4648.25,C000010739,150.7,348.48,0,20,8,0.040804368860931334,-197.77999999999975,197.78000000000003
380,CASH_OUT,29.19,C000000094,16434.62,16405.43,C000017488,48.13,48.13,0,20,16,0.0017760206186319715,-29.18999999999869,0.0
493,TRANSFER,768.33,C000000095,5837.62,5069.29,C000013724,937.43,1705.76,0,13,21,0.1315944521136844,-768.3299999999999,768.33
41,DEBIT,196.55,C000000096,122100.16,121903.61,C000010658,5.33,5.33,0,17,2,0.0016097308166441663,-196.5500000000029,0.0
157,CASH_IN,15.66,C000000097,2522.22,2537.88,C000017313,113.39,113.39,0,13,7,0.0062063553713112615,15.66000000000031,0.0
15,CASH_OUT,174.56,C000000098,2567.2,2392.64,C000012727,148.35,148.35,0,15,1,0.06796978428471304,-174.55999999999995,0.0
65,CASH_OUT,27.14,C000000099,1204.92,1177.78,C000019302,35.64,35.64,0,17,3,0.022505638848348147,-27.1400000000001,0.0
521,TRANSFER,200.82,C000000100,3389.72,3188.9,C000013213,224.86,425.68,0,17,22,0.05922635900339751,-200.8199999999997,200.82
344,PAYMENT,26.62,C000000101,4215.77,4189.15,C000016189,985.4,1012.02,0,8,15,0.006312888775057686,-26.6200000000008,26.620000000000005
129,CASH_IN,156.8,C000000102,4545.15,4701.95,C000018038,521.52,521.52,0,9,6,0.03449072291939334,156.80000000000018,0.0
648,PAYMENT,665.77,C000000103,3297.04,2631.27,C000012165,127.86,793.63,0,0,28,0.20186838243320274,-665.77,665.77
472,PAYMENT,133.47,C000000104,1194.24,1060.77,C000018339,1389.7,1523.17,0,16,20,0.11166794953314815,-133.47000000000003,133.47000000000003
63,CASH_OUT,67.91,C000000105,794.33,726.42,C000016803,683.49,683.49,0,15,3,0.08538594042724403,-67.91000000000008,0.0
139,PAYMENT,222.86,C000000106,1698.06,1475.2,C000015141,40.85,263.71,0,19,6,0.13116664508610645,-222.8599999999999,222.85999999999999
499,TRANSFER,598.46,C000000107,16519.66,15921.2,C000014632,85.42,683.88,0,19,21,0.03622494500825028,-598.4599999999991,598.46
593,TRANSFER,16.21,C000000108,22815.59,22799.38,C000013230,23.97,40.18,0,17,25,0.0007104479679040559,-16.209999999999127,16.21
392,TRANSFER,249.96,C000000109,2655.94,2405.98,C000015168,200.63,450.59,0,8,17,0.09407815005231582,-249.96000000000004,249.95999999999998
675,DEBIT,2069.54,C000000110,726.05,0.0,C000014515,105.89,105.89,0,3,29,2.846489237328932,-726.05,0.0
419,PAYMENT,467.46,C000000111,2639.22,2171.76,C000015230,255.23,722.69,1,11,18,0.17705342736590132,-467.4599999999996,467.46000000000004
289,TRANSFER,166.59,C000000112,68699.57,68532.98,C000013601,19313.72,19480.31,0,1,13,0.002424870710679693,-166.59000000001106,166.59000000000015
379,TRANSFER,533.51,C000000113,13339.06,12805.55,C000016626,15.32,548.83,0,19,16,0.03999307349442206,-533.5100000000002,533.51
490,CASH_OUT,366.86,C000000114,6809.77,6442.91,C000015197,9.09,9.09,0,10,21,0.053864687839994596,-366.8600000000006,0.0
231,CASH_OUT,669.95,C000000115,12632.49,11962.54,C000012318,8028.02,8028.02,0,15,10,0.05302968538384881,-669.9499999999989,0.0
41,PAYMENT,2.59,C000000116,30056.97,30054.38,C000010922,1157.38,1159.97,0,17,2,8.616683029492677e-05,-2.5900000000001455,2.589999999999918
28,CASH_OUT,6.64,C000000117,528.85,522.21,C000014788,2841.37,2841.37,1,4,2,0.01253184863640653,-6.639999999999986,0.0
135,PAYMENT,1107.28,C000000118,1655.64,548.36,C000015771,202.39,1309.67,0,15,6,0.6683890283948232,-1107.2800000000002,1107.2800000000002
201,CASH_IN,7.31,C000000119,1348.73,1356.04,C000013891,1598.86,1598.86,0,9,9,0.0054158979944136975,7.309999999999945,0.0
33,PAYMENT,331.32,C000000120,7191.62,6860.3,C000017850,313.52,644.84,0,9,2,0.04606388214586618,-331.3199999999997,331.32000000000005
48,CASH_OUT,73.4,C000000121,3790.17,3716.77,C000014338,2283.76,2283.76,0,0,3,0.019360777807378726,-73.40000000000009,0.0
503,PAYMENT,20.24,C000000122,9269.34,9249.1,C000014030,3086.96,3107.2,0,23,21,0.0021833071926164517,-20.23999999999978,20.23999999999978
407,PAYMENT,298.66,C000000123,1393.63,1094.97,C000012979,2558.2,2856.86,0,23,17,0.21414998960297713,-298.6600000000001,298.6600000000003
574,TRANSFER,221.86,C000000124,23340.1,23118.24,C000019280,108.97,330.83,0,22,24,0.009505121866578698,-221.85999999999694,221.85999999999999
728,DEBIT,10103.99,C000000125,2686.51,0.0,C000015778,485.25,485.25,1,8,31,3.7596101967992674,-2686.51,0.0
99,TRANSFER,42.54,C000000126,8449.13,8406.59,C000016542,59.32,101.86,0,3,5,0.005034242076749115,-42.539999999999054,42.54
684,CASH_IN,2644.45,C000000127,17909.91,20554.36,C000017032,1219.33,1219.33,0,12,29,0.1476446478710462,2644.4500000000007,0.0
726,TRANSFER,300.32,C000000128,15877.95,15577.63,C000012097,795.28,1095.6,0,6,31,0.01891308934154966,-300.3200000000015,300.31999999999994
547,TRANSFER,39.57,C000000129,5121.7,5082.13,C000015573,16.68,56.25,0,19,23,0.0077244421886895585,-39.56999999999971,39.57
739,PAYMENT,733.99,C000000130,10188.56,9454.57,C000012193,1010.54,1744.53,0,19,31,0.07203353236057299,-733.9899999999998,733.99
613,DEBIT,460.12,C000000131,40639.31,40179.19,C000010917,964.82,964.82,0,13,26,0.01132176403181964,-460.11999999999534,0.0
462,PAYMENT,159.44,C000000132,6440.76,6281.32,C000014767,1255.26,1414.7,0,6,20,0.02475099972678274,-159.4400000000005,159.44000000000005
643,DEBIT,252.8,C000000133,997.78,744.98,C000015423,442.61,442.61,1,19,27,0.2531087927271271,-252.79999999999995,0.0
5,CASH_IN,44.97,C000000134,7147.92,7192.89,C000018620,1248.44,1248.44,1,5,1,0.006290460656994343,44.970000000000255,0.0
218,CASH_IN,28.46,C000000135,2818.83,2847.29,C000013089,756.48,756.48,0,2,10,0.010092807013188739,28.460000000000036,0.0
503,TRANSFER,677.82,C000000136,88.06,0.0,C000014177,67.93,745.75,0,23,21,7.610824163485291,-88.06,677.8199999999999
398,CASH_OUT,94.83,C000000137,5961.02,5866.19,C000016611,1425.43,1425.43,0,14,17,0.015905682973220484,-94.83000000000084,0.0
393,CASH_OUT,126.45,C000000138,3550.97,3424.52,C000017239,60.0,60.0,0,9,17,0.035599962837523966,-126.44999999999982,0.0
207,PAYMENT,259.73,C000000139,16892.53,16632.8,C000016234,47.63,307.36,0,15,9,0.015374525040059718,-259.72999999999956,259.73
15,CASH_OUT,252.29,C000000140,967.64,715.35,C000018901,615.67,615.67,0,15,1,0.26045796167822927,-252.28999999999996,0.0
554,PAYMENT,8.51,C000000141,311.51,303.0,C000013664,1.95,10.46,1,2,24,0.027231128603884675,-8.509999999999991,8.510000000000002
461,TRANSFER,1944.0,C000000142,3839.21,1895.21,C000011982,106.16,2050.16,1,5,20,0.5062223159670955,-1944.0,1943.9999999999998
691,PAYMENT,189.12,C000000143,5272.53,5083.41,C000011389,215.58,404.7,0,19,29,0.035862126507292084,-189.1199999999999,189.11999999999998
575,PAYMENT,98.96,C000000144,3431.49,3332.53,C000018395,5705.04,5804.0,0,23,24,0.02883038260854365,-98.95999999999958,98.96000000000004
743,PAYMENT,351.32,C000000145,3075.01,2723.69,C000013303,262.19,613.51,0,23,31,0.11421289267590157,-351.32000000000016,351.32
241,TRANSFER,238.19,C000000146,599.99,361.8,C000014102,18994.45,19232.64,0,1,11,0.3963293898400972,-238.19,238.1899999999987
564,CASH_OUT,688.23,C000000147,2420.25,1732.02,C000013218,20.52,20.52,0,12,24,0.28424574083634485,-688.23,0.0
96,PAYMENT,435.27,C000000148,1767.62,1332.35,C000015817,1036.31,1471.58,0,0,5,0.24610713437595413,-435.27,435.27
734,TRANSFER,623.71,C000000149,14899.2,14275.49,C000018339,1477.94,2101.65,0,14,31,0.04185916967557483,-623.710000000001,623.71
485,PAYMENT,2212.74,C000000150,5265.8,3053.06,C000014682,64.04,2276.78,0,5,21,0.4201298701298701,-2212.7400000000002,2212.7400000000002
407,TRANSFER,868.92,C000000151,1964.52,1095.6,C000019172,336.94,1205.86,1,23,17,0.44208148479791604,-868.9200000000001,868.9199999999998
231,CASH_OUT,107.67,C000000152,39570.03,39462.36,C000018928,327.04,327.04,0,15,10,0.0027209299328321756,-107.66999999999825,0.0
655,TRANSFER,15.71,C000000153,1991.49,1975.78,C000018887,3546.95,3562.66,0,7,28,0.00788460669815156,-15.710000000000036,15.710000000000036
171,CASH_OUT,4169.69,C000000154,6882.11,2712.42,C000017659,22.56,22.56,0,3,8,0.6057857567291529,-4169.69,0.0
541,PAYMENT,92.25,C000000155,2320.69,2228.44,C000016053,17297.26,17389.51,0,13,23,0.039733986880246715,-92.25,92.25
36,CASH_OUT,57.62,C000000156,34431.56,34373.94,C000010854,9.03,9.03,1,12,2,0.0016734160922103963,-57.61999999999534,0.0
525,TRANSFER,4.6,C000000157,3395.78,3391.18,C000010248,941.56,946.16,0,21,22,0.0013542237059803695,-4.600000000000364,4.600000000000023
160,TRANSFER,292.06,C000000158,3549.71,3257.65,C000016493,70.31,362.37,0,16,7,0.08225397174086309,-292.05999999999995,292.06
699,CASH_OUT,199.89,C000000159,2416.79,2216.9,C000014538,1047.32,1047.32,0,3,30,0.0826746739791297,-199.88999999999987,0.0
243,PAYMENT,7.17,C000000160,4002.87,3995.7,C000019602,107.5,114.67,0,3,11,0.0017907674325090474,-7.170000000000073,7.170000000000002
86,CASH_OUT,367.44,C000000161,18021.25,17653.81,C000012464,5955.39,5955.39,0,14,4,0.02038813133765207,-367.4399999999987,0.0
578,CASH_OUT,54.8,C000000162,10601.66,10546.86,C000013738,493.28,493.28,1,2,25,0.00516851431621876,-54.79999999999927,0.0
682,PAYMENT,32229.26,C000000163,3109.18,0.0,C000019178,174.36,32403.62,0,10,29,10.362506350114785,-3109.18,32229.26
557,PAYMENT,47.53,C000000164,38253.4,38205.87,C000015782,42.86,90.39,0,5,24,0.0012424714542640847,-47.529999999998836,47.53
574,PAYMENT,62.15,C000000165,11042.19,10980.04,C000016474,876.34,938.49,0,22,24,0.005627902807069334,-62.149999999999636,62.14999999999998
646,CASH_IN,25.8,C000000166,1544.92,1570.72,C000017312,992.99,992.99,0,22,27,0.016689091285448147,25.799999999999955,0.0
28,CASH_OUT,1911.71,C000000167,375.96,0.0,C000015367,195.19,195.19,1,4,2,5.071386884550085,-375.96,0.0
620,PAYMENT,70.42,C000000168,1599.55,1529.13,C000013135,427.85,498.27,0,20,26,0.043997375902033675,-70.41999999999985,70.41999999999996
556,PAYMENT,34.82,C000000169,5541.51,5506.69,C000014001,709.83,744.65,0,4,24,0.006282352219481787,-34.82000000000062,34.819999999999936
340,TRANSFER,610.28,C000000170,7301.25,6690.97,C000017671,1454.29,2064.57,0,4,15,0.08357424081618679,-610.2799999999997,610.2800000000002
331,DEBIT,9.39,C000000171,22895.75,22886.36,C000017404,54.78,54.78,0,19,14,0.00041010187035277933,-9.389999999999418,0.0
640,PAYMENT,518.13,C000000172,577.2,59.07,C000019613,160.58,678.71,0,16,27,0.8961086129367001,-518.13,518.13
506,PAYMENT,5233.31,C000000173,1542.67,0.0,C000014897,1369.2,6602.51,1,2,22,3.390174065700571,-1542.67,5233.31
348,DEBIT,460.92,C000000174,509.55,48.63,C000010123,326.42,326.42,0,12,15,0.9027911076290275,-460.92,0.0
473,PAYMENT,531.55,C000000175,400.13,0.0,C000012318,9.46,541.01,0,17,20,1.325131503502605,-400.13,531.55
231,PAYMENT,845.66,C000000176,1162.43,316.77,C000016152,9743.95,10589.61,0,15,10,0.7268679679911983,-845.6600000000001,845.6599999999999
190,CASH_IN,4534.25,C000000177,5166.33,9700.58,C000016874,2192.78,2192.78,0,22,8,0.8774841165553584,4534.25,0.0
225,CASH_OUT,1668.68,C000000178,9481.44,7812.76,C000016486,12.21,12.21,0,9,10,0.17597580369609508,-1668.6800000000003,0.0
385,PAYMENT,357.57,C000000179,718.72,361.15,C000018878,108.48,466.05,0,1,17,0.4968182070805313,-357.57000000000005,357.57
377,PAYMENT,904.86,C000000180,885.44,0.0,C000011662,9369.69,10274.55,0,17,16,1.0207797482063083,-885.44,904.8599999999988
283,PAYMENT,25.23,C000000181,206.49,181.26,C000017483,1003.46,1028.69,0,19,12,0.12159622150465083,-25.230000000000018,25.230000000000018
633,PAYMENT,701.06,C000000182,4111.44,3410.38,C000012876,22.54,723.6,0,9,27,0.17047300386145453,-701.0599999999995,701.0600000000001
628,DEBIT,19.86,C000000183,994.05,974.19,C000016892,8.03,8.03,0,4,27,0.01995879604039998,-19.8599999999999,0.0
259,TRANSFER,71.23,C000000184,36118.02,36046.79,C000012164,11.88,83.11,0,19,11,0.0019720911586194757,-71.22999999999593,71.23
359,CASH_OUT,0.31,C000000185,5512.17,5511.86,C000012839,151.24,151.24,0,23,15,5.622899348287827e-05,-0.3100000000004002,0.0
710,CASH_IN,331.25,C000000186,2304.99,2636.24,C000013461,1537.2,1537.2,0,14,30,0.143647630735606,331.25,0.0
456,TRANSFER,40.95,C000000187,1139.48,1098.53,C000017253,18.74,59.69,1,0,20,0.035905934343434344,-40.950000000000045,40.95
411,PAYMENT,1369.62,C000000188,316.71,0.0,C000017800,1260.88,2630.5,0,3,18,4.3109124673444335,-316.71,1369.62
649,TRANSFER,323.88,C000000189,383.06,59.18,C000019364,69.62,393.5,0,1,28,0.8433057334791438,-323.88,323.88
318,CASH_IN,1405.56,C000000190,1172.38,2577.94,C000010555,9.82,9.82,0,6,14,1.1978728118768003,1405.56,0.0
677,DEBIT,16.99,C000000191,1044.87,1027.88,C000017926,201.09,201.09,0,5,29,0.016244848786178014,-16.98999999999978,0.0
225,PAYMENT,1184.14,C000000192,665.97,0.0,C000014009,20897.48,22081.62,0,9,10,1.7754021920026388,-665.97,1184.1399999999994
234,CASH_OUT,10013.73,C000000193,5248.21,0.0,C000014602,5925.64,5925.64,1,18,10,1.9076642008988018,-5248.21,0.0
684,TRANSFER,684.25,C000000194,6447.18,5762.93,C000011817,148.69,832.94,0,12,29,0.10611521390531901,-684.25,684.25
664,CASH_IN,721.04,C000000195,1498.25,2219.29,C000017540,610.69,610.69,0,16,28,0.48093380023345006,721.04,0.0
374,PAYMENT,208.34,C000000196,54324.38,54116.04,C000010189,126.0,334.34,0,14,16,0.0038350399021599116,-208.3399999999965,208.33999999999997
